journal_title,publisher,issn
Programming and Computer Software,Pleiades Publishing Ltd,0361-7688
Programming and Computer Software,Pleiades Publishing Ltd,1608-3261
Huntington Library Quarterly,Project Muse,0018-7895
Huntington Library Quarterly,Project Muse,1544-399X
Smart Materials and Structures,IOP Publishing,0964-1726
Smart Materials and Structures,IOP Publishing,1361-665X
Ticks and Tick-borne Diseases,Elsevier BV,1877-959X
Ticks and Tick-borne Diseases,Elsevier BV,1877-9603
IEEE Transactions on Power Electronics,Institute of Electrical and Electronics Engineers (IEEE),0885-8993
IEEE Transactions on Power Electronics,Institute of Electrical and Electronics Engineers (IEEE),1941-0107
Journal of Food Engineering,Elsevier BV,0260-8774
Journal of Food Engineering,Elsevier BV,1873-5770
Acta Analytica,Springer Science and Business Media LLC,0353-5150
Acta Analytica,Springer Science and Business Media LLC,1874-6349
Australian Journal of Chemistry,CSIRO Publishing,0004-9425
Australian Journal of Chemistry,CSIRO Publishing,1445-0038
Phytotaxa,Magnolia Press,1179-3155
Phytotaxa,Magnolia Press,1179-3163
Polymers for Advanced Technologies,Wiley,1042-7147
Polymers for Advanced Technologies,Wiley,1099-1581
Computers and Concrete,Techno-Press,1598-818X
Computers and Concrete,Techno-Press,1598-8198
Journal of Construction Engineering and Management,American Society of Civil Engineers (ASCE),0733-9364
Journal of Construction Engineering and Management,American Society of Civil Engineers (ASCE),1943-7862
HortScience,American Society for Horticultural Science,0018-5345
HortScience,American Society for Horticultural Science,2327-9834
Magnetic Resonance in Medicine,Wiley,0740-3194
Magnetic Resonance in Medicine,Wiley,1522-2594
JSTS:Journal of Semiconductor Technology and Science,The Institute of Electronics Engineers of Korea,1598-1657
JSTS:Journal of Semiconductor Technology and Science,The Institute of Electronics Engineers of Korea,2233-4866
Wireless Networks,Springer Science and Business Media LLC,1022-0038
Wireless Networks,Springer Science and Business Media LLC,1572-8196
Journal of Biotechnology,Elsevier BV,0168-1656
Journal of Biotechnology,Elsevier BV,1873-4863
Environment and Planning A: Economy and Space,SAGE Publications,0308-518X
Environment and Planning A: Economy and Space,SAGE Publications,1472-3409
Food & Function,Royal Society of Chemistry (RSC),2042-6496
Food & Function,Royal Society of Chemistry (RSC),2042-650X
New Zealand Entomologist,Informa UK Limited,0077-9962
New Zealand Entomologist,Informa UK Limited,1179-3430
Pancreatology,Elsevier BV,1424-3903
Pancreatology,Elsevier BV,1424-3911
Russian Journal of Coordination Chemistry,Pleiades Publishing Ltd,1070-3284
Russian Journal of Coordination Chemistry,Pleiades Publishing Ltd,1608-3318
Journal of Geophysical Research: Atmospheres,American Geophysical Union (AGU),2169-897X
Journal of Geophysical Research: Atmospheres,American Geophysical Union (AGU),2169-8996
Oxford Journal of Legal Studies,Oxford University Press (OUP),0143-6503
Oxford Journal of Legal Studies,Oxford University Press (OUP),1464-3820
Monthly Review,Monthly Review Foundation,0027-0520
Physical Review X,American Physical Society (APS),2160-3308
Hepatology,Wiley,0270-9139
Hepatology,Wiley,1527-3350
IEEE Transactions on Biomedical Engineering,Institute of Electrical and Electronics Engineers (IEEE),0018-9294
IEEE Transactions on Biomedical Engineering,Institute of Electrical and Electronics Engineers (IEEE),1558-2531
Journal of Magnetics,The Korean Magnetics Society,1226-1750
Journal of Magnetics,The Korean Magnetics Society,2233-6656
Nature Geoscience,Springer Science and Business Media LLC,1752-0894
Nature Geoscience,Springer Science and Business Media LLC,1752-0908
Astronomy Letters,Pleiades Publishing Ltd,1063-7737
Astronomy Letters,Pleiades Publishing Ltd,1562-6873
Freshwater Biology,Wiley,0046-5070
Freshwater Biology,Wiley,1365-2427
Phytochemistry,Elsevier BV,0031-9422
Phytochemistry,Elsevier BV,1873-3700
Journal of Thermal Spray Technology,Springer Science and Business Media LLC,1059-9630
Journal of Thermal Spray Technology,Springer Science and Business Media LLC,1544-1016
Infection Control & Hospital Epidemiology,Cambridge University Press (CUP),0899-823X
Infection Control & Hospital Epidemiology,Cambridge University Press (CUP),1559-6834
Journal of Photochemistry and Photobiology A: Chemistry,Elsevier BV,1010-6030
Journal of Photochemistry and Photobiology A: Chemistry,Elsevier BV,1873-2666
Russkaya Literatura,Institute of Russian Literature Pushkinskij Dom RAN,0131-6095
The Prostate,Wiley,0270-4137
The Prostate,Wiley,1097-0045
Expert Review of Anticancer Therapy,Informa UK Limited,1473-7140
Expert Review of Anticancer Therapy,Informa UK Limited,1744-8328
Chemical Engineering Research and Design,Elsevier BV,0263-8762
Chemical Engineering Research and Design,Elsevier BV,0957-5820
Chemical Engineering Research and Design,Elsevier BV,1744-3563
Chemical Engineering Research and Design,Elsevier BV,1744-3598
Chemical Engineering Research and Design,Elsevier BV,1876-4800
Geotechnical Testing Journal,ASTM International,0149-6115
Geotechnical Testing Journal,ASTM International,1945-7545
Safety Science,Elsevier BV,0925-7535
Safety Science,Elsevier BV,1879-1042
Corporate Governance: An International Review,Wiley,0964-8410
Corporate Governance: An International Review,Wiley,1467-8683
Water Science and Technology,IWA Publishing,0273-1223
Water Science and Technology,IWA Publishing,1996-9732
IEEE Photonics Technology Letters,Institute of Electrical and Electronics Engineers (IEEE),1041-1135
IEEE Photonics Technology Letters,Institute of Electrical and Electronics Engineers (IEEE),1941-0174
Plant Growth Regulation,Springer Science and Business Media LLC,0167-6903
Plant Growth Regulation,Springer Science and Business Media LLC,1573-5087
Environmental Technology,Informa UK Limited,0959-3330
Environmental Technology,Informa UK Limited,1479-487X
Materials Science and Engineering: A,Elsevier BV,0921-5093
Materials Science and Engineering: A,Elsevier BV,1873-4936
Computers & Operations Research,Elsevier BV,0305-0548
Computers & Operations Research,Elsevier BV,1873-765X
Topics in Catalysis,Springer Science and Business Media LLC,1022-5528
Topics in Catalysis,Springer Science and Business Media LLC,1572-9028
The European Legacy,Informa UK Limited,1084-8770
The European Legacy,Informa UK Limited,1470-1316
"Arteriosclerosis, Thrombosis, and Vascular Biology",Ovid Technologies (Wolters Kluwer Health),1079-5642
"Arteriosclerosis, Thrombosis, and Vascular Biology",Ovid Technologies (Wolters Kluwer Health),1524-4636
European Radiology,Springer Science and Business Media LLC,0938-7994
European Radiology,Springer Science and Business Media LLC,1432-1084
Hearing Research,Elsevier BV,0378-5955
Hearing Research,Elsevier BV,1878-5891
Current Anthropology,University of Chicago Press,0011-3204
Current Anthropology,University of Chicago Press,1537-5382
International Journal of Electrical Power & Energy Systems,Elsevier BV,0142-0615
International Journal of Electrical Power & Energy Systems,Elsevier BV,1879-3517
Ecology and Evolution,Wiley,2045-7758
Journal of Soils and Sediments,Springer Science and Business Media LLC,1439-0108
Journal of Soils and Sediments,Springer Science and Business Media LLC,1614-7480
Chemical and Pharmaceutical Bulletin,Pharmaceutical Society of Japan,0009-2363
Chemical and Pharmaceutical Bulletin,Pharmaceutical Society of Japan,1347-5223
Icarus,Elsevier BV,0019-1035
Icarus,Elsevier BV,1090-2643
Health Policy,Elsevier BV,0168-8510
Health Policy,Elsevier BV,1872-6054
Scandinavian Journal of Statistics,Wiley,0303-6898
Scandinavian Journal of Statistics,Wiley,1467-9469
Acta Cirurgica Brasileira,FapUNIFESP (SciELO),0102-8650
Acta Cirurgica Brasileira,FapUNIFESP (SciELO),1678-2674
Powder Technology,Elsevier BV,0032-5910
Powder Technology,Elsevier BV,1873-328X
FEMS Microbiology Letters,Oxford University Press (OUP),0378-1097
FEMS Microbiology Letters,Oxford University Press (OUP),1574-6968
Engineering Computations,Emerald,0264-4401
Engineering Computations,Emerald,1758-7077
Journal of Neurolinguistics,Elsevier BV,0911-6044
Journal of Neurolinguistics,Elsevier BV,1873-8052
Pakistan Journal of Zoology,ResearchersLinks Ltd,0030-9923
Brain Research Bulletin,Elsevier BV,0361-9230
Brain Research Bulletin,Elsevier BV,1873-2747
Comptes Rendus Mathematique,Elsevier BV,1631-073X
Comptes Rendus Mathematique,Elsevier BV,1778-3569
IBM Journal of Research and Development,IBM,0018-8646
IBM Journal of Research and Development,IBM,2151-8556
Theoretical and Mathematical Physics,Pleiades Publishing Ltd,0040-5779
Theoretical and Mathematical Physics,Pleiades Publishing Ltd,1573-9333
Supply Chain Management: An International Journal,Emerald,1359-8546
Supply Chain Management: An International Journal,Emerald,1758-6852
Sleep and Breathing,Springer Science and Business Media LLC,1520-9512
Sleep and Breathing,Springer Science and Business Media LLC,1522-1709
Informes de la Construcción,Departmento de Publicaciones del CSIC,0020-0883
Informes de la Construcción,Departmento de Publicaciones del CSIC,1988-3234
Current Opinion in Pediatrics,Ovid Technologies (Wolters Kluwer Health),1040-8703
Current Opinion in Pediatrics,Ovid Technologies (Wolters Kluwer Health),1080-8116
Current Opinion in Pediatrics,Ovid Technologies (Wolters Kluwer Health),1531-698X
Occupational Medicine,Oxford University Press (OUP),0962-7480
Occupational Medicine,Oxford University Press (OUP),1471-8405
Food Chemistry,Elsevier BV,0308-8146
Food Chemistry,Elsevier BV,1873-7072
Russian Journal of Organic Chemistry,Pleiades Publishing Ltd,1070-4280
Russian Journal of Organic Chemistry,Pleiades Publishing Ltd,1608-3393
Current Neurovascular Research,Bentham Science Publishers Ltd.,1567-2026
Current Neurovascular Research,Bentham Science Publishers Ltd.,1875-5739
IEEE Transactions on Mobile Computing,Institute of Electrical and Electronics Engineers (IEEE),1536-1233
IEEE Transactions on Mobile Computing,Institute of Electrical and Electronics Engineers (IEEE),1558-0660
IEEE Transactions on Mobile Computing,Institute of Electrical and Electronics Engineers (IEEE),2161-9875
Revista Caatinga,FapUNIFESP (SciELO),0100-316X
Revista Caatinga,FapUNIFESP (SciELO),1983-2125
Implant Dentistry,Ovid Technologies (Wolters Kluwer Health),1056-6163
Implant Dentistry,Ovid Technologies (Wolters Kluwer Health),1538-2982
SIAM Journal on Matrix Analysis and Applications,Society for Industrial & Applied Mathematics (SIAM),0895-4798
SIAM Journal on Matrix Analysis and Applications,Society for Industrial & Applied Mathematics (SIAM),1095-7162
The European Physical Journal Special Topics,Springer Science and Business Media LLC,1951-6355
The European Physical Journal Special Topics,Springer Science and Business Media LLC,1951-6401
IEEE/ASME Transactions on Mechatronics,Institute of Electrical and Electronics Engineers (IEEE),1083-4435
IEEE/ASME Transactions on Mechatronics,Institute of Electrical and Electronics Engineers (IEEE),1941-014X
Genes & Development,Cold Spring Harbor Laboratory,0890-9369
Genes & Development,Cold Spring Harbor Laboratory,1549-5477
Journal of Loss Prevention in the Process Industries,Elsevier BV,0950-4230
Journal of Loss Prevention in the Process Industries,Elsevier BV,1873-3352
Clinical Endocrinology,Wiley,0300-0664
Clinical Endocrinology,Wiley,1365-2265
Optics Letters,The Optical Society,0146-9592
Optics Letters,The Optical Society,1071-2763
Optics Letters,The Optical Society,1071-8842
Optics Letters,The Optical Society,1539-4794
"Water, Air, & Soil Pollution",Springer Science and Business Media LLC,0049-6979
"Water, Air, & Soil Pollution",Springer Science and Business Media LLC,1573-2932
Chemistry - A European Journal,Wiley,0947-6539
Chemistry - A European Journal,Wiley,1521-3765
Журнал общей биологии,Pleiades Publishing Ltd,0044-4596
Ultrasonics Sonochemistry,Elsevier BV,1350-4177
Ultrasonics Sonochemistry,Elsevier BV,1873-2828
Telecommunication Systems,Springer Science and Business Media LLC,1018-4864
Telecommunication Systems,Springer Science and Business Media LLC,1572-9451
Experimental and Clinical Transplantation,Baskent University,1304-0855
Middle Eastern Studies,Informa UK Limited,0026-3206
Middle Eastern Studies,Informa UK Limited,1743-7881
Journal of Financial Economics,Elsevier BV,0304-405X
Journal of Financial Economics,Elsevier BV,1879-2774
"Journal of Guidance, Control, and Dynamics",American Institute of Aeronautics and Astronautics (AIAA),0731-5090
"Journal of Guidance, Control, and Dynamics",American Institute of Aeronautics and Astronautics (AIAA),1533-3884
Medicine,Ovid Technologies (Wolters Kluwer Health),0025-7974
Medicine,Ovid Technologies (Wolters Kluwer Health),1536-5964
Trends in Pharmacological Sciences,Elsevier BV,0165-6147
Trends in Pharmacological Sciences,Elsevier BV,1873-3735
Qualitative Theory of Dynamical Systems,Springer Science and Business Media LLC,1575-5460
Qualitative Theory of Dynamical Systems,Springer Science and Business Media LLC,1662-3592
British Journal of Pharmacology,Wiley,0007-1188
British Journal of Pharmacology,Wiley,1476-5381
Journal of Hypertension,Ovid Technologies (Wolters Kluwer Health),0263-6352
Journal of Hypertension,Ovid Technologies (Wolters Kluwer Health),1473-5598
Macromolecular Research,Springer Science and Business Media LLC,1598-5032
Macromolecular Research,Springer Science and Business Media LLC,2092-7673
The Journal of Pacific History,Informa UK Limited,0022-3344
The Journal of Pacific History,Informa UK Limited,1469-9605
IEEE Transactions on Vehicular Technology,Institute of Electrical and Electronics Engineers (IEEE),0018-9545
IEEE Transactions on Vehicular Technology,Institute of Electrical and Electronics Engineers (IEEE),1939-9359
Advanced Composite Materials,Informa UK Limited,0924-3046
Advanced Composite Materials,Informa UK Limited,1568-5519
Applied Energy,Elsevier BV,0306-2619
Applied Energy,Elsevier BV,1872-9118
Proceedings of the IEEE,Institute of Electrical and Electronics Engineers (IEEE),0018-9219
Proceedings of the IEEE,Institute of Electrical and Electronics Engineers (IEEE),1558-2256
Expert Review of Pharmacoeconomics & Outcomes Research,Informa UK Limited,1473-7167
Expert Review of Pharmacoeconomics & Outcomes Research,Informa UK Limited,1744-8379
Transactions of the Philological Society,Wiley,0079-1636
Transactions of the Philological Society,Wiley,1467-968X
Method & Theory in the Study of Religion,Brill,0943-3058
Method & Theory in the Study of Religion,Brill,1570-0682
Hydrological Sciences Journal,Informa UK Limited,0262-6667
Hydrological Sciences Journal,Informa UK Limited,2150-3435
Behavioural Brain Research,Elsevier BV,0166-4328
Behavioural Brain Research,Elsevier BV,1872-7549
Discrete Dynamics in Nature and Society,Hindawi Limited,1026-0226
